   0.0000000e+00   5.2200183e-02
   9.1642149e-05   4.7456882e-01
   2.8867277e-04   1.4940292e+00
   5.1525798e-04   2.6618238e+00
   7.7583098e-04   3.9818298e+00
   1.0754899e-03   5.4127396e+00
   1.4200977e-03   6.8396892e+00
   1.8163967e-03   8.1301207e+00
   2.2721405e-03   9.2241019e+00
   2.7962458e-03   1.0136912e+01
   3.3989670e-03   1.0909471e+01
   4.0920963e-03   1.1578913e+01
   4.8891951e-03   1.2172607e+01
   5.8058587e-03   1.2709858e+01
   6.8600218e-03   1.3204375e+01
   8.0723093e-03   1.3666115e+01
   9.4664400e-03   1.4102515e+01
   1.1069690e-02   1.4519317e+01
   1.2913428e-02   1.4921154e+01
   1.5033727e-02   1.5311979e+01
   1.7472070e-02   1.5695374e+01
   2.0276165e-02   1.6074767e+01
   2.3500874e-02   1.6453615e+01
   2.7209289e-02   1.6835554e+01
   3.1473967e-02   1.7224552e+01
   3.6378346e-02   1.7625291e+01
   4.2018382e-02   1.8044230e+01
   4.8504424e-02   1.8493199e+01
   5.5963372e-02   1.9001162e+01
   6.4541162e-02   1.9616595e+01
   7.4405621e-02   2.0269954e+01
   8.5749748e-02   2.0820675e+01
   9.8795495e-02   2.1297168e+01
   1.1379810e-01   2.1716456e+01
   1.3105110e-01   2.2088257e+01
   1.5089205e-01   2.2422825e+01
   1.7370914e-01   2.2720273e+01
   1.9994880e-01   2.3006599e+01
   2.3012441e-01   2.3314099e+01
   2.6482635e-01   2.3621665e+01
   3.0473359e-01   2.3908048e+01
   3.5062691e-01   2.4320948e+01
   4.0340423e-01   2.4687483e+01
   4.6409815e-01   2.5156145e+01
   5.3389616e-01   2.5681083e+01
   6.1416386e-01   2.5970507e+01
   7.0647173e-01   2.6188213e+01
   8.1262577e-01   2.6515358e+01
   9.3470292e-01   2.6677753e+01
